d90e5bc9f95dc7eb,  Wed Jun 08:03:04  33.03445020186393 -97.27966781719613 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , -163.0794171861716
d90e5bc9f95dc7eb,  Wed Jun 08:03:09  33.034708492655284 -97.27957408918577 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , -163.0794171861716
d90e5bc9f95dc7eb,  Wed Jun 08:03:14  33.034966783446635 -97.27948036090066 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , -163.0794171861716
d90e5bc9f95dc7eb,  Wed Jun 08:03:19  33.035225074237985 -97.2793866323408 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , -163.0794171861716
d90e5bc9f95dc7eb,  Wed Jun 08:03:24  33.035483365029336 -97.27929290350612 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , -163.0794171861716
d90e5bc9f95dc7eb,  Wed Jun 08:03:29  33.035741655820686 -97.2791991743967 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , -163.0794171861716
d90e5bc9f95dc7eb,  Wed Jun 08:03:34  33.03599994661204 -97.27910544501252 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , -163.0794171861716
d90e5bc9f95dc7eb,  Wed Jun 08:03:39  33.03625823740339 -97.27901171535355 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , -163.0794171861716
d90e5bc9f95dc7eb,  Wed Jun 08:03:44  33.036519579819924 -97.27893120470583 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , -166.1290401545156
d90e5bc9f95dc7eb,  Wed Jun 08:03:49  33.036781685142756 -97.27885399864542 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , -166.1290401545156
d90e5bc9f95dc7eb,  Wed Jun 08:03:54  33.03704379046559 -97.27877679235533 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , -166.1290401545156
d90e5bc9f95dc7eb,  Wed Jun 08:03:59  33.03730589578842 -97.27869958583554 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , -166.1290401545156
d90e5bc9f95dc7eb,  Wed Jun 08:04:04  33.037568001111254 -97.27862237908606 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , -166.1290401545156
d90e5bc9f95dc7eb,  Wed Jun 08:04:09  33.037830400683156 -97.27854665357526 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , -167.21251157347004
d90e5bc9f95dc7eb,  Wed Jun 08:04:14  33.038093683002266 -97.2784753722503 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , -167.21251157347004
d90e5bc9f95dc7eb,  Wed Jun 08:04:19  33.03835696532138 -97.2784040907123 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , -167.21251157347004
d90e5bc9f95dc7eb,  Wed Jun 08:04:24  33.03862095239661 -97.2783930031353 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , 168.81283321291963
d90e5bc9f95dc7eb,  Wed Jun 08:04:29  33.03888580084045 -97.27845548629301 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , 168.81283321291963
d90e5bc9f95dc7eb,  Wed Jun 08:04:34  33.03915064928428 -97.27851796963856 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , 161.9628419938312
d90e5bc9f95dc7eb,  Wed Jun 08:04:39  33.03940735984308 -97.27861768896314 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , 161.9628419938312
d90e5bc9f95dc7eb,  Wed Jun 08:04:44  33.039664070401884 -97.2787174085783 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , 146.80106341563283
d90e5bc9f95dc7eb,  Wed Jun 08:04:49  33.03988998143761 -97.27889375046927 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 6 , 146.80106341563283
